author;first_author_surname;institution;inst_adress;country;title;year;journal;volume;number;first_page;last_page;abstract;keywords;doi;n_authors;n_pages;n_refs
Marco Segre;Segre;,  ; ;;Ethics and the management of terminally ill children;2004;Revista do Hospital das Clínicas;59;1;1;2;;;10.1590/S0041-87812004000100001;1;1;1
"Lara de Araújo Torreão; Crésio Romeu Pereira; Eduardo Troster";Torreão;,  ; ;;Ethical aspects in the management of the terminally ill patient in the pediatric intensive care unit;2004;Revista do Hospital das Clínicas;59;1;3;9;"OBJECTIVE: To identify the prevalence of management plans and decision-making processes for terminal care patients in pediatric intensive care units. METHODOLOGY: Evidence-based medicine was done by a systematic review using an electronic data base (LILACS, 1982 through 2000) and (MEDLINE, 1966 through 2000). The key words used are listed and age limits (0 to 18 years) were used. RESULTS: One hundred and eighty two articles were found and after selection according to the exclusion/inclusion criteria and objectives 17 relevant papers were identified. The most common decisions found were do-not-resuscitation orders and withdrawal or withholding life support care. The justifications for these were ""imminent death"" and ""unsatisfatory quality of life"". CONCLUSION: Care management was based on ethical principles aiming at improving benefits, avoiding harm, and when possible, respecting the autonomy of the terminally ill patient.";"Terminal care; Ethics; Life support care, pediartics; Pediatric intensive care unit; Doente terminal; Pediatria; Condutas restritivas; Ética médica; Unidade de terapia intensiva pediátrica";10.1590/S0041-87812004000100002;3;6;40
"Roberto de Cleva; William Abrão Saad; Paulo Herman; Vincenzo Pugliese; Bruno Zilberstein; Antonio Atílio Laudanna; Joaquim José Gama-Rodrigues";Cleva;,University of São Paulo Faculty of Medicine Hospital das Clínicas;São Paulo SP;Brazil;Portal hyperflow in patients with hepatosplenic mansonic schistosomiasis;2004;Revista do Hospital das Clínicas;59;1;10;14;PURPOSE: The purpose of this study was to assess portal hemodynamics in patients with portal hypertension due to hepatosplenic schistosomiasis as well as to assess the contribution of splanchnic hyperflow to the pathophysiology of the portal hypertension. METHODS: Sixteen patients with schistosomal portal hypertension and previous history of upper digestive bleeding due to esophageal varices rupture underwent elective esophagogastric devascularization and splenectomy and were prospectively studied. All patients underwent intraoperative invasive hemodynamic portal monitoring with a 4F-thermodilution catheter. The intraoperative portal hemodynamic assessment was conducted after laparotomy (initial) and after esophagogastric devascularization (final). RESULTS: The initial portal pressure was elevated (mean 28.5 ± 4.5 mm Hg), and a significant drop of 25% was observed at the end of the surgery (21.9 ± 4.9 mm Hg). The initial portal flow was elevated (mean 1766.9 ± 686.6 mL/min). A significant fall (42%) occurred at the end of the surgical procedure (1025.62 ± 338.7 mL/min). Fourteen patients (87.5%) presented a portal flow of more than 1200 mL/min, and in 5 cases, values greater than 2000 mL/min were observed. CONCLUSIONS: Esophagogastric devascularization and splenectomy promote a significant reduction of the elevated portal pressure and flow in schistosomal portal hypertension. These data favor the hypothesis of portal hyperflow in the physiopathology of portal hypertension of schistosomiasis.;"Hemodynamics; Portal hypertension; Portal system; Mansonic schistosomiasis; Hipertensão portal; Hemodinâmica; Sistema porta; Esquistossomose mansônica";10.1590/S0041-87812004000100003;7;4;34
Patrícia Lacerda Bellodi;Bellodi;,University of São Paulo Faculty of Medicine Hospital das Clínicas;São Paulo SP;Brazil;The general practitioner and the surgeon: stereotypes and medical specialties;2004;Revista do Hospital das Clínicas;59;1;15;24;"OBJECTIVE: To investigate and characterize the professional stereotypes associated with general medicine and surgery among Brazilian medical residents. METHODS: A randomized sample of residents of the General Medicine and Surgery Residence Programs were interviewed and their perceptions and views of general and surgical doctors were compared. RESULTS: The general practitioner was characterized by the residents in general to be principally a sensitive and concerned doctor with a close relationship with the patient; (45%); calm, tranquil, and balanced (27%); with intellectual skills (25%); meticulous and attentive to details (23%); slow to resolve problems and make decisions (22%); and working more with probabilities and hypotheses (20%). The surgeon was considered to be practical and objective (40%); quickly resolving problems (35%); technical with manual skills (23%); omnipotent, arrogant, and domineering (23%); anxious, stressed, nervous, and temperamental (23%); and more decided, secure, and courageous (20%). Only the residents of general medicine attributed the surgeon with less knowledge of medicine and only the surgeons attributed gender characteristics to their own specialty. CONCLUSION: There was considerable similarity in the description of a typical general practitioner and surgeon among the residents in general, regardless of the specialty they had chosen. It was interesting to observe that these stereotypes persist despite the transformations in the history of medicine, i.e. the first physicians (especially regarding the valorization of knowledge) and the first surgeons, so-called ""barber surgeons"" in Brazil (associated with less knowledge and the performance of high-risk procedures).";"Career choice; Specialties, medical; Education, medical; Stereotypes, Brazil; Especialidades, médicas; Educação, médica; Estereótipos, Brasil";10.1590/S0041-87812004000100004;1;9;16
"Patrícia El Beitune; Geraldo Duarte; Silvana Maria Quintana; Ernesto Antônio Figueiró-Filho";El Beitune;,University of São Paulo Faculty of Medicine of Ribeirão Preto Department of Gynecology and Obstetrics;Ribeirão Preto SP;Brazil;HIV-1: maternal prognosis;2004;Revista do Hospital das Clínicas;59;1;25;31;"Profound modifications in the profile of patients are currently being observed within the epidemic context of AIDS, especially with respect to pauperization and feminization of the disease. The population most frequently affected is in the reproductive age, and among adults aged 18 to 24 years, the ratio is 1 man to 1 woman, a phenomenon occurring uniformly all over the world. One of the main challenges for HIV-1-infected pregnant women and their doctors is the effect of the interaction between HIV infection and pregnancy. The present article is a review of the literature; and its objective is to assess the influence of HIV-1 infection seen from the maternal perspective, with a discussion of immunologic function, maternal prognosis, and the HIV-abortion interface. At present, we cannot conclude that pregnancy has a short-term effect on the evolution of HIV infection, but the concomitance of HIV and pregnancy may adversely affect the prognosis of gestation, especially in view of its frequent association with increased abortion and puerperal morbidity rates.";"HIV-1; Pregnancy; Abortion; Immunology; Prognosis; HIV-1; Gestação; Abortamento; Imunologia; Prognóstico";10.1590/S0041-87812004000100005;4;6;86
"Fábio Firmbach Pasqualotto; Antônio Marmo Lucon; Jorge Hallak; Eleonora Bedin Pasqualotto; Sami Arap";Pasqualotto;,University of São Paulo Faculty of Medicine Hospital das Clínicas;São Paulo SP;Brazil;Risks and benefits of hormone replacement therapy in older men;2004;Revista do Hospital das Clínicas;59;1;32;38;The use of testosterone in older men, known as male hormonal replacement therapy or androgen replacement therapy, has become of increasing interest to both the medical and lay communities over the past decade. Even though the knowledge of the potential benefits and risks of male Androgen Replacement Therapy has increased dramatically, there is still much that needs to be determined. Although there are a number of potential benefits of male Androgen Replacement Therapy and data concerning clinical effects of such replacement have accumulated, as yet there have not been any large multicenter randomized controlled trials of this therapy. It is the purpose of this article to review what is currently known about the possible risks and benefits of male Androgen Replacement Therapy by discussing the clinical trials to date.;"Testosterone; Androgen; Hormones; Elderly; Replacement; Testosterona; Androgênios; Hormônios; Idoso; Reposição";10.1590/S0041-87812004000100006;5;6;52
"Daniel Herchenhorn; Fernando Luiz Dias";Herchenhorn;,National Institute of Cancer Department of Clinical Oncology and Head and Neck Surgery ;Rio de Janeiro RJ;Brazil;Advances in radiochemotherapy in the treatment of head and neck cancer;2004;Revista do Hospital das Clínicas;59;1;39;46;New advances are being incorporated into the radiochemotherapy treatment of squamous cell carcinoma of the head and neck. Although the overall prognosis is poor in advanced stages, the possibility of incorporating combined protocols of chemotherapy and radiotherapy for organ preservation or for palliation in cases of recurrent/locally advanced stages that are not good surgical candidates must not be forgotten. In this context, there is an urgent need to incorporate quality of life questionnaires and functional evaluation into organ-preservation studies, as well as to assure the importance of surgical salvage after radiotherapy and chemotherapy protocols. The authors provide an extensive review of the advances occurring in the nonsurgical treatment of head and neck cancer. Special attention is given to different radiotherapy protocols, new chemotherapy combinations, molecular markers, and molecular therapy as well as the possibility of incorporating re-irradiation and adjuvant therapy after surgery.;"Chemotherapy; Radiotherapy; Head and neck cancer; Quimioterapia; Radioterapia; Câncer de cabeça e pescoço";10.1590/S0041-87812004000100007;2;7;46
"Bruno Hollanda Santos; Rodrigo Ribeiro Santos; Celeide Fátima Santos; Adriana Maria Kakehasi; Hermann Alexandre Vivacqua Von Tiesenhausen";Santos;,Santa Casa of Belo Horizonte Medical Clinic Ward ;Belo Horizonte MG;Brazil;Pulmonary hemorrhage as a manifestation of systemic lupus erythematosus;2004;Revista do Hospital das Clínicas;59;1;47;50;The authors report a case of a 19-year-old woman admitted for the investigation of fever and hemolytic anemia for the previous 2 months. As an inpatient, she had convulsions and sudden loss of consciousness, developing hemoptysis, hypoxia, and respiratory insufficiency. Examination showed pericardial effusions on the echocardiogram and bilateral alveolar condensations on the thoracic radiograph. A hypothetical diagnosis of systemic lupus erythematosus was made, and measurement of the antinuclear factor was requested along with daily pulse therapy methylprednisolone, in spite of which the outcome was fatal. Afterwards, the result of the antinuclear factor test was positive, with a titer of 1:5120, showing a fine punctiform pattern, fulfilling the criteria for systemic lupus erythematosus according to the American College of Rheumatology. Secondary pulmonary hemorrhage in this connective tissue disease is an uncommon but serious complication that involves a high level of mortality in spite of intensive treatment, as is also reported in the literature.;"Alveolar hemorrhage; Systemic lupus erythematosus; Pulmonary capillaritis; Hemorragia alveolar; Lúpus eritematoso sistêmico; Capilarite pulmonar";10.1590/S0041-87812004000100008;5;3;13
"Leandro Yoshinobu Kiyohara; Lilian Kakumu Kayano; Lorena Marçalo Oliveira; Marina Uemori Yamamoto; Marco Makoto Inagaki; Nilson Yuji Ogawa; Polo Eduardo San Martin Gonzales; Rosana Mandelbaum; Sílvio Tanaka Okubo; Thaís Watanuki; Joaquim Edson Vieira";Kiyohara;,University of São Paulo Faculty of Medicine Hospital das Clínicas;São Paulo SP;Brazil;Surgery information reduces anxiety in the pre-operative period;2004;Revista do Hospital das Clínicas;59;2;51;56;PURPOSE: Patients preparing to undergo surgery should not suffer needless anxiety. This study aimed to evaluate anxiety levels on the day before surgery as related to the information known by the patient regarding the diagnosis, surgical procedure, or anesthesia. METHOD: Patients reported their knowledge of diagnosis, surgery, and anesthesia. The Spielberger State-Trait Anxiety Inventory (STAI) was used to measure patient anxiety levels. RESULTS: One hundred and forty-nine patients were selected, and 82 females and 38 males were interviewed. Twenty-nine patients were excluded due to illiteracy. The state-anxiety levels were alike for males and females (36.10 ± 11.94 vs. 37.61 ± 8.76) (mean ± SD). Trait-anxiety levels were higher for women (42.55 ± 10.39 vs. 38.08 ± 12.25, P = 0.041). Patient education level did not influence the state-anxiety level but was inversely related to the trait-anxiety level. Knowledge of the diagnosis was clear for 91.7% of patients, of the surgery for 75.0%, and of anesthesia for 37.5%. Unfamiliarity with the surgical procedure raised state-anxiety levels (P = 0.021). A lower state-anxiety level was found among patients who did not know the diagnosis but knew about the surgery (P = 0.038). CONCLUSIONS: Increased knowledge of patients regarding the surgery they are about to undergo may reduce their state-anxiety levels.;"Anxiety; Information; Surgery; Anesthesia; Diagnosis; Ansiedade; Informação; Cirurgia; Anestesia; Diagnóstico";10.1590/S0041-87812004000200001;11;5;18
"Edson Braga Lameu; Mauricio Freitas Gerude; Regina Célia Corrêa; Keite Azevedo Lima";Lameu;,Federal University of Rio de Janeiro Faculty of Medicine Nutrology Service;Rio de Janeiro RJ;Brazil;Adductor policis muscle: a new anthropometric parameter;2004;Revista do Hospital das Clínicas;59;2;57;62;PURPOSE: To measure the thickness of adductor pollicis muscle in healthy adults. This measurement will be used as a nutritional anthropometric parameter in further studies. SUBJECTS AND METHOD: Four hundred and twenty-one healthy adults were studied, 209 men and 212 women, with ages ranging from 18 to 87 years, living in Rio de Janeiro. The adductor pollicis muscle was also studied in the human anatomy lab as well as in normal healthy volunteers using CAT scans and nuclear magnetic resonance imaging to ensure that only the adductor pollicis was included in measurement of muscle thickness with a Lange caliper. To standardize the measurement, the methodology was detailed, with subjects sitting with the dominant hand dangling over the homolateral thigh and the elbow bent at approximately a 90° angle. The Lange caliper was applied at a pressure of 10 g/mm², pinching the adductor pollicis muscle at the vertex of an imaginary angle between the thumb and the index finger. The average of 3 consecutive measurements was considered to be the muscle thickness. RESULTS: This study provides the first estimates of adductor pollicis thickness in normal healthy subjects as an anthropometric parameter. The normal values in the dominant hand for men were 12.5 ± 2.8 mm (mean ± SD), median 12 mm, and for women were 10.5 ± 2.3 mm, median 10 mm.;"Adductor pollicis; Muscle atrophy; Malnutrition; Nutritional assessment; Anthropometry; Músculo adutor do polegar; Atrofia muscular; Desnutrição; Avaliação nutricional; Antropometria";10.1590/S0041-87812004000200002;4;5;25
