"uf" "municipio" "populacao" "total_despesas" "despesas_legislativas" "despesas_administrativas" "despesas_seguranca" "despesas_assis_social" "despesas_saude"
"1" "MG" "Abadia dos Dourados" 6743 14556416.96 674132.1 2038984.53 0 356763.73 3033706.96
"2" "MG" "Abaete" 22740 32239907.63 1096877.93 4444877.47 30153.91 1244464.16 9896454.27
"3" "MG" "Abre Campo" 13306 21666788 516724.92 1928408.9 44930.89 558463.81 4667595.92
"4" "MG" "Acaiaca" 3925 10470382.41 389075.17 1009927.62 30946.55 599871.95 2219791.35
"5" "MG" "Acucena" 10093 13689330.04 776841.52 2165172.55 47680.48 498400.34 4171057.72
"6" "MG" "Agua Boa" 14803 17321214.78 726095.42 2347658.86 90598.05 727092.79 4191926.68
"7" "MG" "Agua Comprida" 2015 12535291.43 685994.7 3047432.05 35604.33 696499.35 3354683.43
"8" "MG" "Aguanil" 4129 11269795 376652 1696887 55192 287987 3385806
"9" "MG" "Aguas Formosas" 18575 23760572.35 1104696.45 2034345.29 114551.7 1402845.29 5804365.08
"10" "MG" "Aguas Vermelhas" 12850 16591827.07 664421.86 1481966.64 23454.82 572136.49 4524199.98
"11" "MG" "Aimores" 24937 42297659.08 965083.78 7924440.23 231478.5 1487940.12 11485102.01
"12" "MG" "Aiuruoca" 6116 12223143.62 415017.47 1623943.34 21740.1 213739.33 2609251.86
"13" "MG" "Alagoa" 2696 8945035 197811.13 957609.65 23220.66 299040.81 2379080.04
"14" "MG" "Albertina" 2924 9124485.18 435056.19 2393198.61 0 129829.53 1938982.69
"15" "MG" "Alem Paraiba" 34461 46398379.1 2202728.58 9867941.6 73535.33 2881729.99 12587476.08
"16" "MG" "Alfenas" 74804 171854444.92 4189283.55 43550686.27 904891.83 3103106.03 63213308.06
"17" "MG" "Alfredo Vasconcelos" 6223 11831247.95 360543.92 940224.54 19075.17 304843.04 2581551.05
"18" "MG" "Alpercata" 7204 2129942.26 0 360449.67 134.86 82538.87 629393.47
"19" "MG" "Alpinopolis" 18709 34592709.91 842993.9 5215416.55 61697.94 777584.37 8863491
"20" "MG" "Alterosa" 13829 20901517.61 415794.44 2009409.82 53523.55 718394.53 5737200.69
"21" "MG" "Alto Caparao" 5392 11275301.31 436235.75 1928462.32 24658.62 346059.87 2823856.78
"22" "MG" "Alto Jequitiba" 8297 13327253.59 473054.6 1912586.66 15354.34 321733.43 3933975.76
"23" "MG" "Alto Rio Doce" 11903 14957520.79 442581.38 1320533.94 34705.44 509379.94 4794681.24
"24" "MG" "Alvarenga" 4329 10868204.02 0 1982331.68 27763.11 265574.89 2822719.99
"25" "MG" "Alvinopolis" 15212 19635796.62 591042.96 1792819.08 0 762956.83 5460788.95
"26" "MG" "Alvorada de Minas" 3549 20424866.27 507389.02 2271551.93 0 655133.55 4000412.85
"27" "MG" "Amparo do Serra" 4910 10007480 343099 998275 0 519938 2638271
"28" "MG" "Andradas" 37920 50192115.51 998087.22 4140433.19 277620.57 1851648.03 14473036.15
"29" "MG" "Andrelandia" 12153 17353942.22 498864.33 1522665.15 0 376212.73 5096432.17
"30" "MG" "Angelandia" 8084 13697784.94 549506.5 1979855.02 15644.68 696325.19 3498846.67
"31" "MG" "Antonio Carlos" 11151 15179264.99 470043.72 3474491.26 0 613383.34 4269907.91
"32" "MG" "Antonio Dias" 9493 19399738.34 890662.91 2394592.86 0 456411.17 4238976.55
"33" "MG" "Antonio Prado de Minas" 1653 7995453.13 336517.24 2115992.14 0 606908.27 1751416.02
"34" "MG" "Aracai" 2258 8445059.77 484414.33 1792748.43 22785.98 580897.51 2060490.27
"35" "MG" "Aracuai" 36059 37732193.34 1584694.12 2772279.48 100304.82 1378776.1 10367354.68
"36" "MG" "Araguari" 110983 193255752.62 2485549.33 30589229.01 126069.34 6138131.79 56860466.43
"37" "MG" "Araponga" 8188 11839859.39 441492.03 2332302.24 0 556603.67 3258357.75
"38" "MG" "Arapora" 6271 48501435.88 0 48501435.88 0 0 0
"39" "MG" "Arapua" 2780 8937504.71 417999.58 1894364.15 27012.09 608736.72 1831885
"40" "MG" "Araujos" 8135 13216293.69 297811.51 1939359.68 37215.06 174558.94 3257828.92
"41" "MG" "Araxa" 95888 192158176.67 9947809.24 39060313.93 0 7947936.16 33899225.81
"42" "MG" "Arceburgo" 9732 18629149.03 473313.94 2197099.58 0 672409.03 5279866.72
"43" "MG" "Arcos" 37188 58573476.63 1295454.44 6583680.6 156529.07 850349.91 15604522.63
"44" "MG" "Areado" 13958 21811928.51 475906.05 2776152.76 102082.84 718021.83 5741629.07
"45" "MG" "Argirita" 2860 9699818.79 143873.03 1240784.07 0 305124.99 1946131.18
"46" "MG" "Aricanduva" 4848 10607027.2 499962 1074557.98 0 402866.43 2694201.92
"47" "MG" "Arinos" 17669 36188706.19 1246911.83 2939612.6 91337.38 1768555.85 6539917.3
"48" "MG" "Astolfo Dutra" 13237 18864879.07 597651.81 1373508.3 0 626468.24 5306614.15
"49" "MG" "Augusto de Lima" 4930 12292496.17 449348.92 1700700.35 0 395961.31 2168467.1
"50" "MG" "Baependi" 18426 27568358.92 781183.57 2856784.76 28638.96 764219.99 7248002.08
"51" "MG" "Baldim" 7877 12762853.54 460861.26 1472744.66 0 196284.44 3222831.17
"52" "MG" "Bambui" 22891 38822039.38 1133237.95 3308682.12 0 936901.12 9171321.75
"53" "MG" "Bandeira" 4938 11585730.49 464835.79 1178246.24 48328.96 522477.51 2035184.37
"54" "MG" "Bandeira do Sul" 5405 11558388.72 378051.81 1992547.7 24127.48 604990.07 2269947.36
"55" "MG" "Barao de Cocais" 29205 76154452 2681446 8158647 263065 3574952 18700157
"56" "MG" "Barao de Monte Alto" 5643 11460471.63 0 1144545.91 33567.8 460382.89 2827868.62
