ano,regiao,uf,ies,grande_area,area,nivel,autor,sexo
1987,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,CASTRO  CARLOS EDUARDO DE ATAIDE,Unissex
1989,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,PSICOLOGIA,Doutorado,REGINA HELENA DE FREITAS CAMPOS,Mulher
1990,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,PSICOLOGIA,Doutorado,MARILIA NOVAIS DA MATA MACHADO,Mulher
1990,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,ELIANA REGINA DE FREITAS DUTRA,Mulher
1990,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,PSICOLOGIA,Doutorado,JOSE NEWTON GARCIA DE ARAUJO,Homem
1990,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,CARLA MARIA JUNHO ANASTASIA,Mulher
1990,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,IVAN DOMINGUES,Homem
1990,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,RENAN SPRINGER DE FREITAS,Homem
1990,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,Doutorado,EDGAR PONTES DE MAGALHAES,Homem
1990,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,MARIA JOSE RAGO CAMPOS,Mulher
1990,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,NAIR COSTA MULS,Mulher
1990,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,LEONARDO HIPOLITO GENARO FIGOLI,Homem
1992,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,PAULO ROBERTO MARGUTTI PINTO,Homem
1994,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,LIVIA MARA GUIMARAES,Mulher
1995,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,VERA LUCIA FERREIRA ALVES DE BRITO,Mulher
1997,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,JOSE LUIZ FURTADO,Homem
1997,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,CARLOS ANTONIO LEITE BRANDAO,Homem
1997,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,SUZANA GUERRA ALBORNOZ,Mulher
1997,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA LUCIA MIRANDA AFONSO,Mulher
1997,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA CRISTINA SOARES DE GOUVEA,Mulher
1998,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ANGELA IMACULADA LOUREIRO DE FREITAS DALBEN,Mulher
1998,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA JOSE BRAGA VIANA,Mulher
1998,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ANA MARIA CAMBRUZZI,Mulher
1998,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,INES ASSUNCAO DE CASTRO TEIXEIRA,Mulher
1999,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,LEIVA DE FIGUEIREDO VIANA LEAL,Mulher
1999,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA ELIZABETH MARQUES,Mulher
1999,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,BATISTINA MARIA DE SOUSA CORGOZINHO,Mulher
1999,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,LILIAN MARIA DE LACERDA,Mulher
1999,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,IGNACIO JOSE GODINHO DELGADO,Homem
1999,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,CARLOS RANULFO FELIX DE MELO,Homem
1999,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,VINCENZO DI MATTEO,Homem
